show_id;show_url;title;poster_url;rating;year;tags;duration_minutes;summary;director;starring;platforms
102;https://www.movieofthenight.com/show/102;The Silence of the Lambs;https://image.tmdb.org/t/p/w1280/aYcnDyLMnpKce1FOYUpZrXtgUye.jpg;8,5;1991;Crime, Drama, Horror;119;Clarice Starling is a top student at the FBI's training academy.  Jack Crawford wants Clarice to interview Dr. Hannibal Lecter, a brilliant psychiatrist who is also a violent psychopath, serving life behind bars for various acts of murder and cannibalism.  Crawford believes that Lecter may have insight into a case and that Starling, as an attractive young woman, may be just the bait to draw him out.;Jonathan Demme;Jodie Foster, Anthony Hopkins, Scott Glenn, Ted Levine, Anthony Heald, Brooke Smith, Diane Baker;"Apple; Netflix; Prime Video"
10262456;https://www.movieofthenight.com/show/10262456;Untold: The Murder of Air McNair;https://image.tmdb.org/t/p/w1280/uM6AGRODppu237qnuNlusJYd2E4.jpg;5,6;2024;Crime, Documentary, Sport;58;Steve McNair was an NFL legend whose life was seemingly cut short by a crime of passion. Is there more to this chilling tragedy than meets the eye?;;Steve McNair, Jeff Fisher, Brad Hopkins, Robert Gaddy, Sahel Kazemi, Keith Norfleet, Vincent Hill;Netflix
1025;https://www.movieofthenight.com/show/1025;Mulholland Drive;https://image.tmdb.org/t/p/w1280/y1giivdsGLyo1LCvlsL6mLKyTZ7.jpg;7,8;2001;Drama, Mystery, Thriller;147;Blonde Betty Elms has only just arrived in Hollywood to become a movie star when she meets an enigmatic brunette with amnesia. Meanwhile, as the two set off to solve the second woman's identity, filmmaker Adam Kesher runs into ominous trouble while casting his latest project.;David Lynch;Naomi Watts, Laura Harring, Justin Theroux, Ann Miller, Mark Pellegrino, Robert Forster, Dan Hedaya;Prime Video
106;https://www.movieofthenight.com/show/106;Saving Private Ryan;https://image.tmdb.org/t/p/w1280/rW2xRFlJRbTnBJlQTSjQmjevIwb.jpg;8,5;1998;Drama, Epic, War;169;As U.S. troops storm the beaches of Normandy, three brothers lie dead on the battlefield, with a fourth trapped behind enemy lines. Ranger captain John Miller and seven men are tasked with penetrating German-held territory and bringing the boy home.;Steven Spielberg;Tom Hanks, Tom Sizemore, Edward Burns, Barry Pepper, Adam Goldberg, Vin Diesel, Giovanni Ribisi;"Apple; Netflix; Prime Video"
112;https://www.movieofthenight.com/show/112;Schindler's List;https://image.tmdb.org/t/p/w1280/zb6fM1CX41D9rF9hdgclu0peUmy.jpg;8,8;1993;Drama, Epic, History;195;The true story of how businessman Oskar Schindler saved over a thousand Jewish lives from the Nazis while they worked as slaves in his factory during World War II.;Steven Spielberg;Liam Neeson, Ben Kingsley, Ralph Fiennes, Caroline Goodall, Jonathan Sagall, Embeth Davidtz, Małgorzata Gebel;Apple
1231;https://www.movieofthenight.com/show/1231;O Brother, Where Art Thou?;https://image.tmdb.org/t/p/w1280/rbsm633lnt3hKHEpk7FOt3dy82a.jpg;7,6;2000;Adventure, Comedy, Crime, Epic;107;In the deep south during the 1930s, three escaped convicts search for hidden treasure while a relentless lawman pursues them.;Joel Coen;George Clooney, John Turturro, Tim Blake Nelson, John Goodman, Holly Hunter, Chris Thomas King, Charles Durning;"Netflix; Prime Video"
1283;https://www.movieofthenight.com/show/1283;The Wrestler;https://image.tmdb.org/t/p/w1280/wcJmFsz8RqIhozMwvU81hreTX4i.jpg;7,8;2008;Drama, Sport;109;"Aging wrestler Randy ""The Ram"" Robinson is long past his prime but still ready and rarin' to go on the pro-wrestling circuit. After a particularly brutal beating, however, Randy hangs up his tights, pursues a serious relationship with a long-in-the-tooth stripper, and tries to reconnect with his estranged daughter. But he can't resist the lure of the ring and readies himself for a comeback.";Darren Aronofsky;Mickey Rourke, Marisa Tomei, Evan Rachel Wood, Mark Margolis, Todd Barry, Wass Stevens, Judah Friedlander;Prime Video
1286;https://www.movieofthenight.com/show/1286;The Transporter;https://image.tmdb.org/t/p/w1280/8dXR9R0NUo4eyS4hnYOsCywmo16.jpg;6,7;2002;Action, Crime, Thriller;92;Former Special Forces officer Frank Martin will deliver anything to anyone for the right price, and his no-questions-asked policy puts him in high demand. But when he realizes his latest cargo is alive, it sets in motion a dangerous chain of events. The bound and gagged Lai is being smuggled to France by a shady American businessman, and Frank works to save her as his own illegal activities are uncovered by a French detective.;;Jason Statham, Shu Qi, François Berléand, Matt Schulze, Ric Young, Doug Rand, Didier Saint Melin;Apple
129;https://www.movieofthenight.com/show/129;The Godfather Part II;https://image.tmdb.org/t/p/w1280/kGzFbGhp99zva6oZODW5atUtnqi.jpg;8,8;1974;Crime, Drama, Epic;202;In the continuing saga of the Corleone crime family, a young Vito Corleone grows up in Sicily and in 1910s New York. In the 1950s, Michael Corleone attempts to expand the family business into Las Vegas, Hollywood and Cuba.;Francis Ford Coppola;Al Pacino, Robert Duvall, Diane Keaton, Robert De Niro, John Cazale, Talia Shire, Lee Strasberg;"Netflix; Paramount+"
1293026;https://www.movieofthenight.com/show/1293026;The Reluctant Traveller with Eugene Levy;https://image.tmdb.org/t/p/w1280/ddafeL2xZoNaXreOnp5ZUDdRywX.jpg;7,3;;Documentary, Reality;;Award-winning actor and nervous explorer Eugene Levy steps out of his comfort zone for a whirlwind tour of the world's most beautiful and intriguing destinations.;;Eugene Levy, Héctor Bellerín, Joan Collins, William, Prince of Wales, Will Edmond, Uta Wree, Sarah Levy;Apple
1317;https://www.movieofthenight.com/show/1317;Pride & Prejudice;https://image.tmdb.org/t/p/w1280/x4OYcZVHggyZHOrvkCo2HH9kLkF.jpg;7,8;2005;Drama, Epic, Romance;127;A story of love and life among the landed English gentry during the Georgian era. Mr. Bennet is a gentleman living in Hertfordshire with his overbearing wife and five daughters, but if he dies their house will be inherited by a distant cousin whom they have never met, so the family's future happiness and security is dependent on the daughters making good marriages.;Joe Wright;Keira Knightley, Matthew Macfadyen, Brenda Blethyn, Rosamund Pike, Carey Mulligan, Jena Malone, Talulah Riley;"Apple; Netflix; Prime Video"
13383493;https://www.movieofthenight.com/show/13383493;It's All Over: The Kiss That Changed Spanish Football;https://image.tmdb.org/t/p/w1280/8pSb6TrJp1RIW8wd6p5Tm1CLzd8.jpg;6,7;2024;Documentary, Sport;95;Spanish footballers come together for the first time to relive the turbulent 2023 Women's World Cup and the kiss that overshadowed their victory.;Joanna Pardos;Jennifer Hermoso, Alexia Putellas, Irene Paredes, Aitana Bonmatí, Olga Carmona, Teresa Abelleira, Ivana Andrés;Netflix
140;https://www.movieofthenight.com/show/140;Léon: The Professional;https://image.tmdb.org/t/p/w1280/2hS80sTgsSmK0T61bd5J9YBc52k.jpg;8,4;1994;Action, Crime, Drama;111;"Léon, the top hit man in New York, has earned a rep as an effective ""cleaner"". But when his next-door neighbors are wiped out by a loose-cannon DEA agent, he becomes the unwilling custodian of 12-year-old Mathilda. Before long, Mathilda's thoughts turn to revenge, and she considers following in Léon's footsteps.";Luc Besson;Jean Reno, Natalie Portman, Gary Oldman, Danny Aiello, Peter Appel, Michael Badalucco, Ellen Greene;Prime Video
1407;https://www.movieofthenight.com/show/1407;Atonement;https://image.tmdb.org/t/p/w1280/prH7Lmo7V9GuMbhCaDCSa6kvZvs.jpg;7,7;2007;Drama, Epic, Mystery, Romance;123;A young girl irrevocably changes the course of several lives when she accuses her older sister's lover of a crime he did not commit.;Joe Wright;James McAvoy, Keira Knightley, Saoirse Ronan, Romola Garai, Vanessa Redgrave, Brenda Blethyn, Juno Temple;"Apple; HBO Max; Netflix; Prime Video"
1419;https://www.movieofthenight.com/show/1419;Grave of the Fireflies;https://image.tmdb.org/t/p/w300/f5woP1q5t1ylKG5hQwUKKbbPxKL.jpg;8,4;1988;Animation, Drama, War;89;In the final months of World War II, 14-year-old Seita and his sister Setsuko are orphaned when their mother is killed during an air raid in Kobe, Japan. After a falling out with their aunt, they move into an abandoned bomb shelter. With no surviving relatives and their emergency rations depleted, Seita and Setsuko struggle to survive.;Isao Takahata;Tsutomu Tatsumi, Ayano Shiraishi, Yoshiko Shinohara, Akemi Yamaguchi, Masayo Sakai, Kozo Hashida, Kazumi Nozaki;Netflix
15206326;https://www.movieofthenight.com/show/15206326;Thomas Müller - One of a Kind;https://image.tmdb.org/t/p/w1280/q6Tk2XwbkWaFw5DrA5nTWeBIPJD.jpg;6,6;2025;Documentary, Sport;89;Title collector, popular figure, advertising icon, and the face of German football – that's how we know Thomas Müller. But who is the person behind the superstar? We accompany Thomas Müller over a season before he departs from the national team and experience him with his loved ones: honest, authentic, and quick-witted - one of a kind!;André Hörmann;Thomas Müller, Karl-Heinz Rummenigge, Hermann Gerland, Uli Hoeneß, Bastian Schweinsteiger, Joachim Löw, Robert Lewandowski;Prime Video
156;https://www.movieofthenight.com/show/156;Terminator 2: Judgment Day;https://image.tmdb.org/t/p/w1280/ztBeLd2UCbUATJ1cXwwHev3G3xX.jpg;8,4;1991;Action, Adventure, Epic, Science Fiction;137;Ten years after the events of the original, a reprogrammed T-800 is sent back in time to protect young John Connor from the shape-shifting T-1000. Together with his mother Sarah, he fights to stop Skynet from triggering a nuclear apocalypse.;James Cameron;Arnold Schwarzenegger, Linda Hamilton, Edward Furlong, Robert Patrick, Earl Boen, Joe Morton, S. Epatha Merkerson;"Netflix; Prime Video"
1568;https://www.movieofthenight.com/show/1568;Cinema Paradiso;https://image.tmdb.org/t/p/w1280/zoVeIgKzGJzpdG6Gwnr7iOYfIMU.jpg;8,4;1988;Drama, Romance;124;A filmmaker recalls his childhood, when he fell in love with the movies at his village's theater and formed a deep friendship with the theater's projectionist.;Giuseppe Tornatore;Philippe Noiret, Jacques Perrin, Marco Leonardi, Salvatore Cascio, Agnese Nano, Antonella Attili, Pupella Maggio;Prime Video
1713;https://www.movieofthenight.com/show/1713;A Separation;https://image.tmdb.org/t/p/w1280/mJrSFyb7uoqiICUmvIIzeOerA5K.jpg;8,1;2011;Drama;123;A married couple are faced with a difficult decision - to improve the life of their child by moving to another country or to stay in Iran and look after a deteriorating parent who has Alzheimer's disease.;Asghar Farhadi;Leila Hatami, Payman Maadi, Sareh Bayat, Sarina Farhadi, Shahab Hosseini, Kimia Hosseini, Ali-Asghar Shahbazi;"Apple; Prime Video"
1631;https://www.movieofthenight.com/show/1631;Wind River;https://image.tmdb.org/t/p/w1280/zcbb4XArMpGSNUQUZTdemp2WOTs.jpg;7,6;2017;Crime, Drama, Mystery;107;An FBI agent teams with the town's veteran game tracker to investigate a murder that occurred on a Native American reservation.;Taylor Sheridan;Jeremy Renner, Elizabeth Olsen, Gil Birmingham, Graham Greene, Jon Bernthal, Kelsey Asbille, Teo Briones;Apple
1762;https://www.movieofthenight.com/show/1762;The Artist;https://image.tmdb.org/t/p/w1280/bYimqNnizPUCnL5HOdoCW02IGmH.jpg;7,7;2011;Comedy, Drama, Romance;100;Hollywood, 1927: As silent movie star George Valentin wonders if the arrival of talking pictures will cause him to fade into oblivion, he sparks with Peppy Miller, a young dancer set for a big break.;Michel Hazanavicius;Jean Dujardin, Bérénice Bejo, John Goodman, James Cromwell, Penelope Ann Miller, Missi Pyle, Beth Grant;Prime Video
18547489;https://www.movieofthenight.com/show/18547489;14 Peaks: Nothing Is Impossible;https://image.tmdb.org/t/p/w1280/lRCAcwJeh93YHO3ghFBDf0Pj3w3.jpg;7,6;2021;Adventure, Documentary, Sport;101;In 2019, Nepalese mountain climber Nirmal “Nims” Purja set out to do the unthinkable by climbing the world’s fourteen highest summits in less than seven months. (The previous record was eight years). He called the effort “Project Possible 14/7” and saw it as a way to inspire others to strive for greater heights in any pursuit. The film follows his team as they seek to defy naysayers and push the limits of human endurance.;Torquil Jones;Nirmal Purja, Jimmy Chin, Reinhold Messner, Klára Kolouchová, Conrad Anker;Netflix
1910;https://www.movieofthenight.com/show/1910;True Romance;https://image.tmdb.org/t/p/w1280/1Uh8yuXlFcMDpVHWZJidjanT06e.jpg;7,8;1993;Crime, Romance;121;Clarence marries hooker Alabama, steals cocaine from her pimp, and tries to sell it in Hollywood, while the owners of the coke try to reclaim it.;Tony Scott;Christian Slater, Patricia Arquette, Dennis Hopper, Val Kilmer, Gary Oldman, Brad Pitt, Christopher Walken;Prime Video
2;https://www.movieofthenight.com/show/2;Game of Thrones;https://image.tmdb.org/t/p/w1280/zZqpAXxVSBtxV9qPBcscfXBcL2w.jpg;9;;Action, Adventure, Drama, Epic;;Seven noble families fight for control of the mythical land of Westeros. Friction between the houses leads to full-scale war. All while a very ancient evil awakens in the farthest north. Amidst the war, a neglected military order of misfits, the Night's Watch, is all that stands between the realms of men and icy horrors beyond.;;Peter Dinklage, Kit Harington, Nikolaj Coster-Waldau, Emilia Clarke, Maisie Williams, Isaac Hempstead Wright, Sophie Turner;"HBO Max; Prime Video"
